#Date/Time of Update: 2023-11-22 17:03:06 GMT,#Venue ID,#Venue Name#Venue City#Venue Country,,,
,66,Acrisure Stadium,Pittsburgh, PA,USA
,161,Allegiant Stadium,Paradise, NV,USA
,1000,Allianz Arena,Munich,Germany,
,51,AT&T Stadium,Arlington, TX,USA
,47,Bank of America Stadium,Charlotte, NC,USA
,142,Caesars Superdome,New Orleans, LA,USA
,52,Empower Field at Mile High,Denver, CO,USA
,144,Estadio Azteca,Mexico City,Mexico,
,73,FedEx Field,Landover, MD,USA
,50,FirstEnergy Stadium,Cleveland, OH,USA
,53,Ford Field,Detroit, MI,USA
,58,GEHA Field at Arrowhead Stadium,Kansas City, MO,USA
,61,Gillette Stadium,Foxborough, MA,USA
,59,Hard Rock Stadium,Miami Gardens, FL,USA
,46,Highmark Stadium,Orchard Park, NY,USA
,54,Lambeau Field,Green Bay, WI,USA
,68,Levi's Stadium,Santa Clara, CA,USA
,65,Lincoln Financial Field,Philadelphia, PA,USA
,56,Lucas Oil Stadium,Indianapolis, IN,USA
,69,Lumen Field,Seattle, WA,USA
,45,M&T Bank Stadium,Baltimore, MD,USA
,62,Mercedes-Benz Stadium,Atlanta, GA,USA
,63,MetLife Stadium,East Rutherford, NJ,USA
,72,Nissan Stadium,Nashville, TN,USA
,55,NRG Stadium,Houston, TX,USA
,49,Paycor Stadium,Cincinnati, OH,USA
,71,Raymond James Stadium,Tampa, FL,USA
,162,SoFi Stadium,Inglewood, CA,USA
,48,Soldier Field,Chicago, IL,USA
,43,State Farm Stadium,Glendale, AZ,USA
,57,TIAA Bank Field,Jacksonville, FL,USA
,196,Tottenham Hotspur Stadium,Tottenham, London,UK
,141,US Bank Stadium,Minneapolis, MN,USA
,143,Wembley Stadium,London,England,
